Type|Items|DMPG Price gp
Potions & Oils|Potion Of Mind Reading|1,100 gp
Potions & Oils|Potion Of Poison|500 gp
Potion|Potion of Possibility|1,900 gp
Potions & Oils|Potion Of Resistance|500 gp
Potions & Oils|Potion Of Speed|2,000 gp
Potions & Oils|Potion Of Vitality|1,800 gp
Potions & Oils|Potion Of Watchful Rest|35 gp
Potions & Oils|Potion Of Water Breathing|400 gp
Armor|Powered Armor (plate)|30,000 gp
Wondrous Items|Pressure Capsule|25 gp
Wondrous Items|Prismari Primer|300 gp
Wondrous Items|Professor Orb|4,000 gp
Wondrous Items|Professor Orb|4,000 gp
Wondrous Items|Propeller Helm|250 gp
Wondrous Item|Prosthetic Limb|100 gp
Wondrous Items|Prosthetic Limb|100 gp
Wondrous Items|Protective Verses|3,500 gp
Wondrous Items|Psi Crystal|500 gp
Wondrous Items|Pyroconverger|250 gp
Wondrous Items|Pyxis of Pandemonium|25,000 gp
Wondrous Items|Quaals Feather Token (Anchor)|1,000 gp
Wondrous Items|Quaals Feather Token (Bird)|1,000 gp
Wondrous Items|Quaals Feather Token (Fan)|1,000 gp
Wondrous Items|Quaals Feather Token (Swan Boat)|1,000 gp
Wondrous Items|Quaals Feather Token (Whip)|1,000 gp
Wondrous Items|Quandrix Primer|300 gp
Wondrous Items|Quiver Of Ehlonna|250 gp
Weapons|Rakdos Riteknife (dagger)|60,000 gp
Wondrous Item|Reincarnation Dust|3,500 gp
Wondrous Items|Reveler's Concertina|4,250 gp
Wondrous Items|Rhythm-Maker's Drum, +1|425 gp
Wondrous Items|Rhythm-Maker's Drum, +2|4,250 gp
Wondrous Items|Rhythm-Maker's Drum, +3|14,500 gp
Rings|Ring Of Air Elemental Command|200,000 gp
Rings|Ring Of Animal Influence|1,000 gp
Rings|Ring Of Djinni Summoning|125,000 gp
Rings|Ring Of Earth Elemental Command|200,000 gp
Rings|Ring Of Elemental Command|200,000 gp
Rings|Ring Of Evasion|4,900 gp
Rings|Ring Of Feather Falling|2,200 gp
Rings|Ring Of Fire Elemental Command|200,000 gp
Rings|Ring Of Free Action|4,500 gp
Rings|Ring Of Invisibility|75,000 gp
Rings|Ring Of Jumping|250 gp
Rings|Ring Of Mind Shielding|250 gp
Rings|Ring of Obscuring|150 gp
Rings|Ring Of Protection|3,000 gp
Rings|Ring Of Regeneration|40,000 gp
Rings|Ring Of Resistance|3,500 gp
Rings|Ring Of Shooting Stars|20,000 gp
Rings|Ring Of Spell Storing|3,600 gp
Rings|Ring Of Spell Turning|66,000 gp
Rings|Ring Of Swimming|300 gp
Rings|Ring Of Telekinesis|25,000 gp
Rings|Ring of Temporal Salvation|2,250 gp
Rings|Ring Of The Ram|4,000 gp
Rings|Ring Of Three Wishes|97,950 gp
Rings|Ring Of Truth Telling|150 gp
Rings|Ring Of Warmth|480 gp
Rings|Ring Of Water Elemental Command|200,000 gp
Rings|Ring Of Water Walking|500 gp
Rings|Ring Of X-Ray Vision|3,500 gp
Wondrous Items: Body|Robe Of Eyes|5,000 gp
Wondrous Items: Body|Robe Of Scintillating Colors|27,000 gp
Wondrous Items: Body|Robe Of Serpents|375 gp
Wondrous Items: Body|Robe Of Stars|45,000 gp
Wondrous Items: Body|Robe Of Summer|2,900 gp
Wondrous Items: Body|Robe Of The Archmagi|75,000 gp
Wondrous Items: Body|Robe Of Useful Items|400 gp
Rods|Rod Of Absorption|48,000 gp
Rods|Rod Of Alertness|11,000 gp
Rods|Rod Of Lordly Might|70,000 gp
Rods|Rod Of Resurrection|125,000 gp
Rods|Rod of Retribution|250 gp
Rods|Rod Of Rulership|3,600 gp
Rods|Rod Of Security|45,000 gp
Rods|Rod Of The Pact Keeper +1|400 gp
Rods|Rod Of The Pact Keeper +2|4,000 gp
Rods|Rod Of The Pact Keeper +3|17,000 gp
Rods|Rod Of The Vonindod|3,400 gp
Wondrous Items|Rope Of Climbing|350 gp
Wondrous Items|Rope Of Entanglement|1,000 gp
Wondrous Items|Rope Of Mending|50 gp
Wondrous Items|Rotor Of Return|2,500 gp
Wondrous Items|Ruby Of The War Mage|100 gp
Wondrous Items|Ruby Weave Gem|30,000 gp
Weapons|Ruinblade (greatsword)|17,000 gp
Wondrous Items|Saddle Of The Cavalier|250 gp
Armor|Sapphire Buckler|9,000 gp
Woundrous Items|Scaled Ornament (Ascendant)|20,000 gp
Woundrous Items|Scaled Ornament (Slumbering)|200 gp
Woundrous Items|Scaled Ornament (Stirring)|4,000 gp
Woundrous Items|Scaled Ornament (Wakened)|8,000 gp
Wondrous Items: Neck|Scarab Of Protection|58,000 gp
Weapons|Scimitar Of Speed|7,500 gp
Wondrous Items|Scissors of Shadow Snipping|750 gp
Armor|Scorpion Armor (plate)|2,100 gp
Wondrous Items|Scribe's Pen|60 gp
Wondrous Items|Scribes Pen|60 gp
Spell Scrolls|Scroll Of Protection|3,500 gp
Spell Scrolls|Scroll of Tarrasque Summoning|150,000 gp
Spell Scrolls|Scroll of the Comet|250,000 gp
Weapons|Seeker Dart|100 gp
Wondrous Items|Sekolahian Worshiping Statuette|50 gp
Wondrous Items|Sending Stone|500 gp
Wondrous Items|Sending Stones|500 gp
Shields|Sentinel Shield|300 gp
Wondrous Items|Shadowfell Brand Tattoo|1,100 gp
Wondrous Items|Shadowfell Shard|600 gp
Wondrous Items|Shard Of The Ise Rune|9,000 gp
Weapons|Shatterspike (longsword)|550 gp
Shields|Shield Of Expression|50 gp
Shields|Shield Of Far Sight|750 gp
Shields|Shield Of Missile Attraction|1,000 gp
Armor|Shield Of The Hidden Lord|86,000 gp
Shields|Shield Of The Uven Rune|11,000 gp
Shields|Shield, +1|450 gp
Shields|Shield, +2|4,000 gp
Shields|Shield, +3|22,000 gp
Wondrous Items|Shiftweave|100 gp
Wondrous Items|Shiftweave|100 gp
Wondrous Items|Silverquill Primer|300 gp
Wondrous Items|Siren Song Lyre|650 gp
Shields|Skold Rune Shield|2,600 gp
Weapons|Skold Rune Weapon|500 gp
Staffs|Skyblinder Staff|375 gp
Weapons|Sling Bullets of Althemone|5,500 gp
Wondrous Items: Feet|Slippers Of Spider Climbing|500 gp
Wondrous Items|Smokepowder|325 gp
Armor|Smoldering Armor|+75 gp
Weapons|Snicker-Snack (greatsword)|80,000 gp
Wondrous Items|Soul Coin|250 gp
Wondrous Items|Sovereign Glue|5,000 gp
Wondrous Items|Speaking Stone|5,000 gp
Wondrous Items|Speaking Stone|5,000 gp
Weapons|Spear Of Backbiting (javelin or spear)|6,500 gp
Wondrous Item|Spell Bottle|75,000 gp
Spell Gems|Spell Gem (Amber, Level 4)|8,000 gp
Spell Gems|Spell Gem (Bloodstone, Level 3)|4,000 gp
Spell Gems|Spell Gem (Diamond, Level 9)|78,000 gp
Spell Gems|Spell Gem (Jade, Level 5)|15,000 gp
Spell Gems|Spell Gem (Lapis Lazuli, Level 1)|350 gp
Spell Gems|Spell Gem (Obsidian, Level 0)|150 gp
Spell Gems|Spell Gem (Quartz ,Level 2)|1,500 gp
Spell Gems|Spell Gem (Ruby, Level 8)|51,000 gp
Spell Gems|Spell Gem (Star Ruby, Level 7)|35,000 gp
Spell Gems|Spell Gem (Topaz, Level 6)|20,000 gp
Spell Scrolls|Spell Scroll (Level 0)|15 gp
Spell Scrolls|Spell Scroll (Level 1)|25 gp
Spell Scrolls|Spell Scroll (Level 2)|150 gp
Spell Scrolls|Spell Scroll (Level 3)|400 gp
Spell Scrolls|Spell Scroll (Level 4)|800 gp
Spell Scrolls|Spell Scroll (Level 5)|1,500 gp
Spell Scrolls|Spell Scroll (Level 6)|2,000 gp
Spell Scrolls|Spell Scroll (Level 7)|3,500 gp
Spell Scrolls|Spell Scroll (Level 8)|5,000 gp
Spell Scrolls|Spell Scroll (Level 9)|20,000 gp
Shields|Spellguard Shield|36,000 gp
Wondrous Items|Spellshard|100 gp
Wondrous Items|Spellshard|100 gp
Wondrous Items|Spellwrought Tattoo (Level 0)|20 gp
Wondrous Items|Spellwrought Tattoo (Level 1)|35 gp
Wondrous Items|Spellwrought Tattoo (Level 2)|225 gp
Wondrous Items|Spellwrought Tattoo (Level 3)|500 gp
Wondrous Items|Spellwrought Tattoo (Level 4)|1,200 gp
Wondrous Items|Spellwrought Tattoo (Level 5)|2,100 gp
Wondrous Items|Sphere Of Annihilation|200,000 gp
Staffs|Spider Staff|1,750 gp
Wondrous Items: Head|Spies' Murmur|475 gp
Staffs|Staff Of Adornment|50 gp
Staffs|Staff Of Birdcalls|70 gp
Staffs|Staff Of Charming|1,750 gp
Staffs|Staff Of Defense|3,400 gp
Staffs|Staff of Dunamancy|27,000 gp
Staffs|Staff Of Fire|18,000 gp
Staffs|Staff Of Flowers|50 gp
Staffs|Staff Of Frost|18,000 gp
Staffs|Staff Of Healing|4,800 gp
Staffs|Staff Of Power|46,000 gp
Staffs|Staff Of Striking|36,000 gp
Staffs|Staff Of Swarming Insects|4,500 gp
Staffs|Staff Of The Adder|350 gp
Staffs|Staff of the Ivory Claw|1,000 gp
Staffs|Staff Of The Magi|98,000 gp
Staffs|Staff Of The Python|250 gp
Staffs|Staff Of The Woodlands|4,500 gp
Staffs|Staff Of Thunder And Lightning|30,000 gp
Staffs|Staff Of Withering|2,100 gp
Weapons|Steel (longsword)|6,500 gp
Wondrous Items: Feet|Stein Rune Boots|350 gp
Shields|Stein Rune Shield|4,600 gp
Wondrous Items|Stone Of Controlling Earth Elementals|4,700 gp
Wondrous Items|Stone Of Good Luck (Luckstone)|400 gp
Wondrous Items|Stone Of Ill Luck|400 gp
Wondrous Items|Stonespeaker Crystal|4,600 gp
Weapons|Storm Boomerang|150 gp
Wondrous Items|Strixhaven Pennant|50 gp
Weapons|Sun Blade (longsword)|3,500 gp
Weapons|Sunforger (warhammer)|4,600 gp
Weapons|Sunsword (longsword)|55,000 gp
Weapons|Sword Of Answering|51,000 gp
Weapons|Sword Of Life Stealing (any sword)|2,200 gp
Weapons|Sword Of Sharpness (slashing swords)|42,000 gp
Weapons|Sword Of The Paruns (longsword)|16,000 gp
Weapons|Sword Of Vengeance (any sword)|400 gp
Weapons|Sword Of Wounding (any sword)|2,000 gp
Wondrous Items|Talisman Of Pure Good|125,000 gp
Wondrous Items|Talisman Of The Sphere|75,000 gp
Wondrous Items|Talisman Of Ultimate Evil|125,000 gp
Wondrous Items|Talking Doll|75 gp
Wondrous Items|Tankard Of Plenty|25 gp
Wondrous Items|Tankard Of Sobriety|80 gp
Rods|Tentacle Rod|2,000 gp
Wondrous Items|Thermal Cube|50 gp
Potions & Oils|Thessaltoxin Antidote|100 gp
Wondrous Items|Timepiece Of Travel|8,000 gp
Weapons|Tinderstrike (dagger)|71,000 gp
Wondrous Items|Tome Of Clear Thought|36,000 gp
Wondrous Items|Tome Of Leadership And Influence|36,000 gp
Wondrous Items|Tome Of The Stilled Tongue|60,000 gp
Wondrous Items|Tome Of Understanding|36,000 gp
Weapons|Topaz Annihilator (firearm)|12,000 gp
Weapons|Trident Of Fish Command|300 gp
Weapons|Two-Birds Sling|4,000 gp
Ammunition|Unbreakable Arrow|25 gp
Wondrous Items|Universal Solvent|5,000 gp
Wondrous Items|Ventilating Lungs|1,000 gp
Weapons|Veteran's Cane|50 gp
Weapons|Vicious Weapon (any)|1,200 gp
Armor|Vind Rune Armor|+300 gp
Wondrous Items: Feet|Vind Rune Boots|650 gp
Weapons|Vorpal Sword|75,000 gp
Wondrous Item|Vox Seeker|100 gp
Staffs|Voyager Staff|10,500 gp
Ammunition|Walloping Ammunition|30 gp
Wands|Wand Of Binding|2,500 gp
Wands|Wand Of Conducting|90 gp
Wands|Wand Of Enemy Detection|3,750 gp
Wands|Wand Of Entangle|300 gp
Wands|Wand Of Fear|3,250 gp
Wands|Wand Of Fireballs|4,800 gp
Wands|Wand Of Lightning Bolts|4,800 gp
Wands|Wand Of Magic Detection|150 gp
Wands|Wand Of Magic Missiles|300 gp
Wands|Wand Of Paralysis|4,250 gp
Wands|Wand Of Polymorph|21,000 gp
Wands|Wand Of Pyrotechnics|65 gp
Wands|Wand Of Scowls|60 gp
Wands|Wand Of Secrets|125 gp
Wands|Wand Of Smiles|60 gp
Wands|Wand Of The War Mage +1|400 gp
Wands|Wand Of The War Mage +2|4,000 gp
Wands|Wand Of The War Mage +3|14,000 gp
Wands|Wand Of Viscid Globs|900 gp
Wands|Wand Of Web|250 gp
Wands|Wand Of Winter|4,100 gp
Wands|Wand Of Wonder|2,250 gp
Wondrous Items|Wand Sheath|75 gp
Wondrous Items|Wand Sheath|75 gp
Weapons|Waythe (greatsword)|62,000 gp
Weapons|Weapon of Certain Death|1,500 gp
Weapons|Weapon of the Uven Rune (any)|2,000 gp
Weapons|Weapon Of Warning|400 gp
Weapons|Weapon, +1|500 gp
Weapons|Weapon, +2|2,500 gp
Weapons|Weapon, +3|15,000 gp
Weapons|Weapon, Adamantine (any)|+500 gp
Wondrous Items|Weird Tank|2,200 gp
Wondrous Items|Well Of Many Worlds|90,000 gp
Wondrous Items|Wheel Of Stars|6,500 gp
Wondrous Items|Wheel Of Wind And Water|350 gp
Wondrous Items|Wheel Of Wind And Water|350 gp
Wondrous Items|Wind Fan|150 gp
Weapons|Windvane|68,000 gp
Wondrous Items: Feet|Winged Boots|5,000 gp
Wondrous Items: Shoulders|Wings Of Flying|3,600 gp
Wondrous Items: Body|Wingwear|300 gp
Wondrous Items|Witherbloom Primer|300 gp
Weapons|Woodcutter's Axe|1,500 gp
Wondrous Items|Ythryn Mythallar|200,000 gp
